Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/05  19:00:00,16.31682817,0.901003892,0,0,5.481224596,1.011599678,29.91546085,29.91546085,,
 01/05  20:00:00,16.87498278,1.459158505,0,0,5.481224596,1.011599678,48.21126995,48.21126995,,
 01/05  21:00:00,16.62570985,1.209885576,0,0,5.481224596,1.011599678,39.75433248,39.75433248,,
 01/05  22:00:00,17.15455807,1.738733793,0,0,5.481224596,1.011599678,57.19678579,57.19678579,,
 01/05  23:00:00,16.79484007,1.379015797,0,0,5.481224596,1.011599678,45.14967225,45.14967225,,
 01/05  24:00:00,17.35007822,1.934253947,0,0,5.481224596,1.011599678,63.52631001,63.52631001,,
 01/06  01:00:00,16.94991453,1.534090259,0,0,5.481224596,1.011599678,50.13907949,50.13907949,,
 01/06  02:00:00,17.62850062,2.212676347,0,0,5.481224596,1.011599678,72.6526685,72.6526685,,
 01/06  03:00:00,17.18306178,1.76723751,0,0,5.481224596,1.011599678,57.73425022,57.73425022,,
 01/06  04:00:00,17.93119268,2.515368403,0,0,5.481224596,1.011599678,82.66886036,82.66886036,,
 01/06  05:00:00,17.38069464,1.964870367,0,0,5.481224596,1.011599678,64.26066797,64.26066797,,
 01/06  06:00:00,17.97368822,2.557863944,0,0,5.481224596,1.011599678,84.05218942,84.05218942,,
 01/06  07:00:00,19.76596369,4.350139419,0,0,5.481224596,1.011599678,110.5890577,110.5890577,,
 01/06  08:00:00,40.21883315,4.312936373,0,0,21.92489839,5.05799839,104.3535629,104.3535629,,
 01/06  09:00:00,50.78670699,4.325337388,0,0,38.36857217,8.092797425,97.40434313,97.40434313,,
 01/06  10:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,82.64001374,82.64001374,,
 01/06  11:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,64.65528829,64.65528829,,
 01/06  12:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,48.7209078,48.7209078,,
 01/06  13:00:00,56.30513463,4.362540434,0,0,43.84979677,8.092797425,38.114108,38.114108,,
 01/06  14:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,29.2794657,29.2794657,,
 01/06  15:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,25.37453256,25.37453256,,
 01/06  16:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,25.8940759,25.8940759,,
 01/06  17:00:00,68.74662557,4.362540434,0,0,49.33102137,9.104397103,37.27525808,37.27525808,,
 01/06  18:00:00,30.55757995,1.144507444,0,0,16.44367379,4.046398712,38.58717791,38.58717791,,
 01/06  19:00:00,16.76161599,1.345791719,0,0,5.481224596,1.011599678,44.2971683,44.2971683,,
 01/06  20:00:00,17.47684232,2.061018048,0,0,5.481224596,1.011599678,68.61441293,68.61441293,,
 01/06  21:00:00,17.26817327,1.852348996,0,0,5.481224596,1.011599678,60.44420931,60.44420931,,
 01/06  22:00:00,17.89828484,2.482460563,0,0,5.481224596,1.011599678,82.74720758,82.74720758,,
 01/06  23:00:00,17.51006242,2.094238142,0,0,5.481224596,1.011599678,68.24025845,68.24025845,,
