Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/28  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/28  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/28  06:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,71.58942039,71.58942039,,
 09/28  07:00:00,18.04115552,7.14850634,0,0,7.297301534,3.595347648,53.25398708,53.25398708,,
 09/28  08:00:00,31.68361856,7.14850634,0,0,18.24325384,6.291858384,38.55375551,38.55375551,,
 09/28  09:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,19.21047655,19.21047655,,
 09/28  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,14.91151449,14.91151449,,
 09/28  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,7.072831831,7.072831831,,
 09/28  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,4.932081111,4.932081111,,
 09/28  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,3.640713223,3.640713223,,
 09/28  14:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,1.202444385,1.202444385,,
 09/28  15:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/28  16:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/28  17:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/28  18:00:00,38.14527291,7.14850634,0,0,21.8919046,7.190695296,0.005164333,0.005164333,,
 09/28  19:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,7.675185576,7.675185576,,
 09/28  20:00:00,43.16861856,7.14850634,0,0,18.24325384,6.291858384,18.6847503,18.6847503,,
 09/28  21:00:00,22.37764918,0,0,0,7.297301534,3.595347648,0,0,,
 09/28  22:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/28  23:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/28  24:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/29  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/29  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/29  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/29  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/29  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/29  06:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,94.0524196,94.0524196,,
 09/29  07:00:00,19.95532219,7.14850634,0,0,7.297301534,3.595347648,71.63176485,71.63176485,,
 09/29  08:00:00,31.68361856,7.14850634,0,0,18.24325384,6.291858384,58.28286472,58.28286472,,
 09/29  09:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,39.53004565,39.53004565,,
 09/29  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,35.38750494,35.38750494,,
 09/29  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,24.02292204,24.02292204,,
 09/29  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,13.56437516,13.56437516,,
 09/29  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,1.663964253,1.663964253,,
 09/29  14:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/29  15:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/29  16:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/29  17:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/29  18:00:00,38.14527291,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 09/29  19:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,2.505839906,2.505839906,,
 09/29  20:00:00,43.16861856,7.14850634,0,0,18.24325384,6.291858384,9.270796955,9.270796955,,
 09/29  21:00:00,22.37764918,0,0,0,7.297301534,3.595347648,0,0,,
 09/29  22:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/29  23:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/29  24:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 09/30  01:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/30  02:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/30  03:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/30  04:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/30  05:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/30  06:00:00,21.80608709,7.14850634,0,0,1.824325384,1.348255368,90.60878525,90.60878525,,
 09/30  07:00:00,15.40783451,7.14850634,0,0,3.648650767,2.696510736,76.02210524,76.02210524,,
 09/30  08:00:00,22.5886432,7.14850634,0,0,10.9459523,4.49418456,59.72805693,59.72805693,,
 09/30  09:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,29.3809195,29.3809195,,
 09/30  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,7.69617999,7.69617999,,
 09/30  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/30  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/30  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/30  14:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/30  15:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/30  16:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/30  17:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 09/30  18:00:00,35.51195189,7.14850634,0,0,18.24325384,6.291858384,1.502923831,1.502923831,,
 09/30  19:00:00,34.0736432,7.14850634,0,0,10.9459523,4.49418456,16.05347975,16.05347975,,
 09/30  20:00:00,34.0736432,7.14850634,0,0,10.9459523,4.49418456,23.53296898,23.53296898,,
 09/30  21:00:00,24.97866784,7.14850634,0,0,3.648650767,2.696510736,32.0315366,32.0315366,,
 09/30  22:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/30  23:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 09/30  24:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  01:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  02:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  03:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  04:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  05:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  06:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  07:00:00,5.086747418,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  08:00:00,13.49366784,7.14850634,0,0,3.648650767,2.696510736,115.4316003,115.4316003,,
 10/01  09:00:00,13.49366784,7.14850634,0,0,3.648650767,2.696510736,73.74923573,73.74923573,,
 10/01  10:00:00,27.13613088,7.14850634,0,0,14.59460307,5.393021472,44.18131503,44.18131503,,
 10/01  11:00:00,27.13613088,7.14850634,0,0,14.59460307,5.393021472,26.65458858,26.65458858,,
 10/01  12:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,2.801247881,2.801247881,,
 10/01  13:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 10/01  14:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 10/01  15:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 10/01  16:00:00,36.23110624,7.14850634,0,0,21.8919046,7.190695296,0,0,,
 10/01  17:00:00,27.13613088,7.14850634,0,0,14.59460307,5.393021472,1.616719184,1.616719184,,
 10/01  18:00:00,21.86948886,7.14850634,0,0,7.297301534,3.595347648,27.32853734,27.32853734,,
 10/01  19:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  20:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  21:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  22:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  23:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/01  24:00:00,14.65758075,0,0,0,1.824325384,1.348255368,0,0,,
 10/02  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 10/02  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 10/02  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 10/02  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 10/02  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 10/02  06:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,162.4842586,162.4842586,,
 10/02  07:00:00,19.95532219,7.14850634,0,0,7.297301534,3.595347648,126.9263404,126.9263404,,
 10/02  08:00:00,31.68361856,7.14850634,0,0,18.24325384,6.291858384,94.49649452,94.49649452,,
 10/02  09:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,46.7638333,46.7638333,,
 10/02  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,20.42208338,20.42208338,,
 10/02  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,3.723520005,3.723520005,,
 10/02  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0.133278379,0.133278379,,
 10/02  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 10/02  14:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 10/02  15:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 10/02  16:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
 10/02  17:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,0,0,,
