Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 11/13  17:00:00,225.502703138,36.15092953,39.0786243946,0.0,32.1804615127,60.9114621605,354.161653188,137.868856123,91.7998,124.492997065
 11/13  18:00:00,277.841092465,35.64579397,51.3198393382,0.0,32.1804615127,77.5397301883,366.768380373,128.62625774,49.9818,188.160322632
 11/13  19:00:00,350.404147581,35.64579397,69.8161920074,0.0,77.122965704,86.2600435998,532.084501599,134.922324275,49.9818,347.180377323
 11/13  20:00:00,357.52674644,35.64579397,69.0260201604,0.0,102.647051061,80.1663183927,457.542048242,170.864181104,33.3212,253.356667138
 11/13  21:00:00,390.175037944,35.64579397,76.0182259745,0.0,115.40909374,92.7192997104,450.635878954,166.687491412,33.3212,250.627187543
 11/13  22:00:00,380.947460995,35.64579397,90.3402773387,0.0,102.647051061,94.1340635361,545.068549354,148.831426132,24.9909,371.246223222
 11/13  23:00:00,296.087779024,35.64579397,72.0758661958,0.0,77.122965704,65.871452062,445.827871702,148.738442313,16.6606,280.428829389
 11/13  24:00:00,205.350272824,35.64579397,49.4705079967,0.0,38.286128036,48.4199368926,325.021095236,155.660918295,8.3303,161.029876942
 11/14  01:00:00,152.777716859,30.9846629218,40.1202725359,0.0,25.5240853573,30.610668775,164.525621959,37.9480694271,3.33212,123.245432532
 11/14  02:00:00,139.568872903,30.9846629218,34.2704092926,0.0,19.418418834,29.3649097162,131.281373076,33.7886457723,3.33212,94.160607304
 11/14  03:00:00,130.497309786,30.9846629218,33.1054345725,0.0,12.7620426787,28.1191506574,128.65777541,31.1670596768,3.33212,94.1585957335
 11/14  04:00:00,129.497789389,30.9846629218,32.1123974481,0.0,12.7620426787,28.1191506574,126.969846145,29.4817507864,3.33212,94.1559753584
 11/14  05:00:00,138.576854133,30.9846629218,33.9764796815,0.0,12.7620426787,28.1191506574,155.31645752,28.7362836751,3.33212,123.248053845
 11/14  06:00:00,174.660867273,30.9846629218,42.4155701954,0.0,25.5240853573,30.610668775,252.062542378,28.0260598616,8.3303,215.706182516
 11/14  07:00:00,301.951093748,33.587127757,69.2512938104,0.0,51.0481707146,78.1489452969,414.364319669,26.7880570331,16.6606,370.915662636
 11/14  08:00:00,374.316062974,35.64579397,92.1594344137,0.0,64.3609230253,109.708623606,673.900265258,154.220792539,24.9909,494.688572719
 11/14  09:00:00,307.836757503,35.64579397,74.1209809823,0.0,51.0481707146,80.7689615957,597.359309552,178.987762038,33.3212,385.050347514
 11/14  10:00:00,278.199908892,35.9692142857,73.1541000446,0.0,51.0481707146,71.0224615957,516.326290958,158.388871781,66.8089,291.128519177
 11/14  11:00:00,228.523371685,36.2482654983,72.0654797776,0.0,32.1804615127,65.7244621605,444.771648123,134.937375581,83.4695,226.364772542
 11/14  12:00:00,236.137076442,36.3371118082,79.5041504764,0.0,32.1804615127,65.7244621605,340.617892611,86.8476039164,83.4695,170.300788694
 11/14  13:00:00,241.755783879,36.3772093593,85.9223575841,0.0,32.1804615127,65.7244621605,337.697896043,86.9167751175,83.4695,167.311620926
 11/14  14:00:00,230.803820856,36.4120282618,84.6687374858,0.0,32.1804615127,55.9779621605,339.128045763,98.2801258175,75.1392,165.708719945
 11/14  15:00:00,225.617313073,36.4421670797,79.4852936897,0.0,32.1804615127,55.9779621605,339.843657706,105.30656155,66.8089,167.728196156
 11/14  16:00:00,217.046594649,36.47061959,70.7264469801,0.0,32.1804615127,55.9779621605,383.781226398,144.051860717,75.1392,164.590165682
 11/14  17:00:00,242.422161273,36.0301425253,55.5120784503,0.0,32.1804615127,60.9114621605,421.063386526,199.202356117,91.7998,130.061230409
 11/14  18:00:00,288.422000929,35.64579397,61.1857229177,0.0,32.1804615127,77.5397301883,421.559263617,183.314375589,49.9818,188.263088028
 11/14  19:00:00,359.248497912,35.64579397,77.9426891291,0.0,77.122965704,86.2600435998,582.617272455,191.332799676,49.9818,341.302672779
 11/14  20:00:00,364.757402993,35.64579397,76.2928708874,0.0,102.647051061,80.1663183927,478.265606696,190.703897018,33.3212,254.240509678
 11/14  21:00:00,396.413054563,35.64579397,82.5704661169,0.0,115.40909374,92.7192997104,481.2188775,192.389490947,33.3212,255.508186554
 11/14  22:00:00,386.631936632,35.64579397,96.2405400245,0.0,102.647051061,94.1340635361,588.255870168,191.698120383,24.9909,371.566849784
 11/14  23:00:00,301.162989788,35.64579397,77.0691308914,0.0,77.122965704,65.871452062,493.863835166,196.620148498,16.6606,280.583086668
 11/14  24:00:00,209.811759622,35.64579397,53.836251388,0.0,38.286128036,48.4199368926,376.080272825,207.219694228,8.3303,160.530278598
 11/15  01:00:00,156.601972723,30.9846629218,44.0017768137,0.0,25.5240853573,30.610668775,172.81111594,45.6855932151,3.33212,123.793402725
 11/15  02:00:00,142.918083817,30.9846629218,37.6660941024,0.0,19.418418834,29.3649097162,137.2642376,39.7570003727,3.33212,94.1751172276
 11/15  03:00:00,132.735940532,30.9846629218,35.3949648182,0.0,12.7620426787,28.1191506574,133.420550788,35.9131697847,3.33212,94.1752610038
 11/15  04:00:00,131.810335634,30.9846629218,34.472624552,0.0,12.7620426787,28.1191506574,130.646521764,33.1396763439,3.33212,94.1747254196
 11/15  05:00:00,140.345182408,30.9846629218,36.4126200973,0.0,12.7620426787,28.1191506574,157.679249621,31.0706051273,3.33212,123.276524493
 11/15  06:00:00,176.802199883,30.9846629218,45.2237889651,0.0,25.5240853573,30.610668775,253.519261997,29.3631557667,8.3303,215.82580623
 11/15  07:00:00,304.997305238,32.9268008585,73.6554064505,0.0,51.0481707146,78.1489452969,417.030393823,27.3721362341,16.6606,372.997657589
 11/15  08:00:00,377.755923419,35.6829774984,96.535755506,0.0,64.3609230253,109.708623606,667.074083801,146.438292738,24.9909,495.644891063
 11/15  09:00:00,304.345378963,35.64579397,71.395318789,0.0,51.0481707146,80.7689615957,594.485240586,177.607908322,33.3212,383.556132264
 11/15  10:00:00,264.130749865,35.8956816341,59.2118774842,0.0,51.0481707146,71.0224615957,534.08972604,175.696355193,66.8089,291.584470847
 11/15  11:00:00,202.33851599,36.0479903456,46.0584614401,0.0,32.1804615127,65.7244621605,489.499026707,179.819284874,83.4695,226.210241833
 11/15  12:00:00,196.476554352,36.1403785203,39.4739567187,0.0,32.1804615127,65.7244621605,437.575364794,183.754017784,83.4695,170.35184701
 11/15  13:00:00,195.110417346,36.2763978592,38.730358537,0.0,32.1804615127,65.7244621605,430.710405392,177.141788566,83.4695,170.099116826
 11/15  14:00:00,185.012959768,36.3552713447,38.2795693325,0.0,32.1804615127,55.9779621605,416.04920553,173.823125156,75.1392,167.086880374
 11/15  15:00:00,184.357862259,36.3803168793,37.6012925456,0.0,32.1804615127,55.9779621605,408.049985494,175.672885212,66.8089,165.568200282
 11/15  16:00:00,184.588759225,36.4037727636,37.8218966556,0.0,32.1804615127,55.9779621605,413.497961459,174.238812879,75.1392,164.11994858
 11/15  17:00:00,224.738872985,36.0730328158,37.8745993952,0.0,32.1804615127,60.9114621605,386.469206284,165.809719955,91.7998,128.859686329
 11/15  18:00:00,276.506836746,35.64579397,49.3460142973,0.0,32.1804615127,77.5397301883,407.424603908,169.12408992,49.9818,188.318713989
 11/15  19:00:00,348.471585974,35.64579397,67.2381969735,0.0,77.122965704,86.2600435998,575.016430877,177.21597192,49.9818,347.818658958
 11/15  20:00:00,355.802590938,35.64579397,66.9825445201,0.0,102.647051061,80.1663183927,461.882300418,172.103893574,33.3212,256.457206844
 11/15  21:00:00,388.185085081,35.64579397,74.0101788273,0.0,115.40909374,92.7192997104,449.669300349,167.169187122,33.3212,249.178913226
 11/15  22:00:00,379.116585132,35.64579397,88.4786798151,0.0,102.647051061,94.1340635361,565.965556957,162.423113567,24.9909,378.55154339
 11/15  23:00:00,294.230980235,35.64579397,70.1899123718,0.0,77.122965704,65.871452062,461.925444152,163.735150867,16.6606,281.529693285
 11/15  24:00:00,203.862747143,35.64579397,47.946931782,0.0,38.286128036,48.4199368926,340.512445298,177.764273664,8.3303,154.417871633
 11/16  01:00:00,152.244760014,30.9846629218,39.6021151199,0.0,25.5240853573,30.610668775,168.695453648,42.0642359702,3.33212,123.299097678
 11/16  02:00:00,139.708932212,30.9846629218,34.4144531304,0.0,19.418418834,29.3649097162,134.145696261,36.6175777276,3.33212,94.1959985329
 11/16  03:00:00,129.699302635,30.9846629218,32.3150195004,0.0,12.7620426787,28.1191506574,130.828263003,33.2979480792,3.33212,94.1981949242
 11/16  04:00:00,129.111351726,30.9846629218,31.7357348892,0.0,12.7620426787,28.1191506574,128.775447771,31.2436661012,3.33212,94.1996616693
 11/16  05:00:00,137.542058017,30.9846629218,33.5840794039,0.0,12.7620426787,28.1191506574,163.115923054,29.9821396945,3.33212,129.801663359
 11/16  06:00:00,173.554029501,30.9846629218,41.961257106,0.0,25.5240853573,30.610668775,253.327702079,29.1202814744,8.3303,215.877120604
 11/16  07:00:00,301.225212771,33.0821718935,69.7420427811,0.0,51.0481707146,78.1489452969,415.237622817,26.9178726112,16.6606,371.659150205
